,Date,Airline,Aircraft Type,City,Country,Fatalities,Cause of Crash,Details
1,1/8/2020,Ukraine International Airlines,Boeing 737-800,Tehran,Iran,176,Plane shot down,"The aircraft was shot down by two surface-to-air missiles fired by the Iranian military. The missiles struck the plane shortly after it departed from Tehran. Iran initially denied involvement but later admitted to mistakenly shooting down the aircraft, claiming it was a result of human error amidst heightened tensions with the United States."
2,1/27/2020,Caspian Airlines,MD-83,Mahshahr,Iran,0,Pilot landing error,"Pilot landing error. The MD-83 overran the runway during landing at Mahshahr Airport, Iran. All occupants survived, but the aircraft sustained significant damage."
3,2/5/2020,Pegasus Airlines,Boeing 737-86J,Istanbul,Türkiye,3,Pilot landing error,"Pilot landing error. The Boeing 737-86J skidded off the runway at Sabiha Gökçen International Airport, Istanbul, Türkiye, and broke apart."
4,5/4/2020,East African Express Airways,Embracer 120RT,Bardale,Somalia,6,Plane shot down,"Plane shot down. The Embracer 120RT was mistakenly shot down on approach to Bardale Airstrip, Somalia."
5,5/22/2020,Pakistan International Airlines,Airbus A320,Karachi,Pakistan,97,Pilot landing error,"On 22 May 2020, the Airbus A320 crashed into Model Colony, a densely populated residential area of Karachi only a few kilometres from the runway, while on a second approach after a failed landing attempt with the landing gear not extended."
6,8/7/2020,Air India Express,Boeing 737-800,Kozhikode,India,17,Pilot landing error,"Pilot landing error. The aircraft overshot the runway while attempting to land in heavy rain at Kozhikode Airport, India, resulting in a crash."
7,1/9/2021,Sriwijaya,Boeing 737-500,Jakarta,Indonesia,62,Pilot error,"The crash was attributed to a combination of mechanical failure in the auto-throttle system and pilot error in managing the asymmetric thrust situation. This highlights the importance of proper maintenance and the critical role of pilot training in handling emergencies.
"
8,6/16/2021,Kin Avia,Let L-410UVP-E,Bukavu,Congo,3,Cargo issues,"Cargo issues. Improperly secured cargo caused the Let L-410UVP-E to become unstable and crash near Bukavu, Congo."
9,7/2/2021,Transair/Rhoades Aviation,Boeing 737-275C,Honolulu,USA,0,Mechanical error,"Mechanical error. The Boeing 737-275C experienced engine failure shortly after takeoff from Honolulu, HI, USA, and ditched into the ocean. Both pilots survived."
10,7/6/2021,Petropavlovsk-Kamchatka Aviation,Antonov AN-26,Petropavlovsk-Kamchatsky,Russia,26,Weather conditions,"Weather conditions. Poor visibility and adverse weather conditions led to the Antonov AN-26 crash near Petropavlovsk-Kamchatsky, Russia."
11,9/12/2021,Aeroservice,Let L-410UVP-E,Kazachinskoye,Russia,4,Mechanical error,"Mechanical error. The Let L-410UVP-E experienced a failure during flight and crashed near Kazachinskoye, Russia."
12,11/2/2021,Optimum Aviation,Antonov An-26,Juba,South Sudan,5,Mechanical error,"Mechanical error. The Antonov An-26 crashed due to mechanical failure near Juba, South Sudan."
13,11/3/2021,Hrodna Airlines,Antonov An-12BK,Irkutsk,Russia,9,Pilot landing error,"Pilot landing error. The Antonov An-12BK crashed during the landing phase in Irkutsk, Russia."
14,12/23/2021,Malu Aviation,Short 360-300,Shabunda,Congo,6,Weather conditions,"Weather conditions. The aircraft encountered severe weather while landing at Shabunda, Congo, leading to the crash."
15,3/21/2022,China Eastern Airlines ,Boeing 737-89P,Tengxian,China ,132,Inconclusive,"The Boeing 737-800 operated by China Eastern Airlines took off from Kunming, China, for a passenger flight to Guangzhou, China. 123 passengers and 9 crewmembers were on board. The plane was en-route, flying at 29,000 ft (8900 meters) when it suddenly lost altitude and crashed in a wooded mountainous terrain. All the 132 people onboard were killed."
16,5/29/2022,Tara Air,DHC-6 Twin Otter,Jomsom,Nepal,22,Weather conditions,"The approach to Jomsom airport is going through a valley and requires the plane to be flown accurately. At the time of the accident, some clouds were covering the valley."
17,6/21/2022,RED Air ,McDonnell Douglas MD-82,Miami,USA,0,Landing gear collapse,The aircraft caught fire after the gear failed during landing. Passengers were evacuated safely.
18,10/23/2022,Korean Air,Airbus A320-322,Cebu City,Phillipines,0,Pilot error,The Airbus A330 then landed but overran the runway end at high speed and came to rest about 360 meters (1200 feet) past the runway end close to the airport perimeter fence. The aircraft received substantial damage. All the occupants escaped uninjured.
19,11/6/2022,Precision Air,ATR 42-500,Bukoba,Tanzania,19,Weather conditions,"The aircraft overran Bukoba's runway and came to a stop submerged in Lake Victoria. 19 occupants were killed (including both pilots), and 24 survived and were taken to the hospital. The ATR 42 had been approaching Bukoba in heavy rain, and in turbulences. The first approach was aborted, and the crew repositioned the aircraft for a second approach. During this second approach, the aircraft landed, but overran the runway and came to a stop 100 meters / 330 feet past the end of the runway, in Lake Victoria. The cabin filled rapidly with water. Only the rear part of the aircraft remained out of the water. Survivors escaped through the rear emergency exit and were picked up by fisher boats."
20,11/18/2022,LATAM Airlines Chile ,Airbus A320-271N,Lima,Peru,2,Takeoff error,"Takeoff error. The Airbus A320-271N struck a fire truck on the runway during takeoff at Lima, Peru."
21,1/15/2023,Yeti Airlines,ATR 72-500,Pokhara,Nepal,72,Lost control of aircraft,The aircraft crashed into a gorge while attempting to land at Pokhara International Airport.
22,2/6/2023,Coulson Aviation,Boeing 737-300,Fitzgerald River National Park,Australia,0,Firefighting accident, The aircraft was on a firefighting mission and crash-landed. Both pilots survived with minor injuries.
23,6/3/2023,SAM Air,Cessna Grand Caravan,Papua,Indonesia,6,Poor weather and pilot error,The aircraft crashed into a remote mountainous area during a domestic flight.
24,1/8/2024,Alaska Airlines,Boeing 737 MAX 9,Portland,USA,0,Uncontrolled decompression,The aircraft safely returned to Portland after a plug covering an unused exit door blew out mid-flight.
25,5/21/2024,Singapore Airlines,Boeing 777-300ER,Bangkok,Thailand,1,Severe turbulence,The aircraft encountered severe turbulence en route from London to Singapore and made an emergency landing in Bangkok.
26,7/24/2024,Saurya Airlines,Bombardier CRJ-200ER,Kathmandu,Nepal,18,Takeoff failure,The aircraft crashed shortly after takeoff on its way to Pokhara International Airport.
27,8/9/2024,Voepass,ATR-72-500,São Paulo,Brazil,62,Aircraft entered a flat spin,The plane crashed into a residential area during descent.
28,12/25/2024,Azerbaijan Airlines,Embraer 190AR,Aktau,Kazakhstan,38,Emergency landing failure,The aircraft crashed in a field during an attempted emergency landing
29,12/29/2024,Jeju Air,Boeing 737-800,Muan,South Korea,179,Pilot error during landing,"The aircraft crashed into an embankment while attempting to land, making it the deadliest aviation accident on South Korean soil."
